algo,seed,match_id,bot0,city_tiles0,units0,bot1,city_tiles1,units1,winner
EXP3,320620221,100107,imitation_tb,67,67,imitation_dr,19,17,imitation_tb
EXP3,320620221,100108,imitation_tb,78,77,imitation_rl,0,2,imitation_tb
EXP3,320620221,100109,imitation_dr,23,26,imitation_rl,28,28,imitation_rl
EXP3,425067973,100110,meta_bot,6,10,working_title,2,12,meta_bot
EXP3,425067973,100111,meta_bot,1,1,imitation_tb,19,19,imitation_tb
EXP3,425067973,100112,meta_bot,8,9,imitation_dr,8,11,imitation_dr
EXP3,425067973,100113,meta_bot,5,6,imitation_rl,9,10,imitation_rl
EXP3,425067973,100114,working_title,4,5,imitation_tb,4,19,imitation_tb
EXP3,425067973,100115,working_title,1,7,imitation_dr,12,12,imitation_dr
EXP3,425067973,100116,working_title,3,6,imitation_rl,4,4,imitation_rl
EXP3,425067973,100117,imitation_tb,4,9,imitation_dr,1,5,imitation_tb
EXP3,425067973,100118,imitation_tb,45,45,imitation_rl,16,16,imitation_tb
EXP3,425067973,100119,imitation_dr,11,14,imitation_rl,3,14,imitation_dr
EXP3,300865537,100120,meta_bot,20,20,working_title,5,6,meta_bot
EXP3,300865537,100121,meta_bot,8,8,imitation_tb,12,12,imitation_tb
EXP3,300865537,100122,meta_bot,9,9,imitation_dr,11,11,imitation_dr
EXP3,300865537,100123,meta_bot,10,10,imitation_rl,18,18,imitation_rl
EXP3,300865537,100124,working_title,2,5,imitation_tb,17,17,imitation_tb
EXP3,300865537,100125,working_title,1,5,imitation_dr,23,24,imitation_dr
EXP3,300865537,100126,working_title,7,11,imitation_rl,1,1,working_title
EXP3,300865537,100127,imitation_tb,11,12,imitation_dr,0,1,imitation_tb
EXP3,300865537,100128,imitation_tb,34,35,imitation_rl,0,1,imitation_tb
EXP3,300865537,100129,imitation_dr,23,28,imitation_rl,0,0,imitation_dr
EXP3,162656609,100130,meta_bot,33,36,working_title,18,24,meta_bot
EXP3,162656609,100131,meta_bot,21,23,imitation_tb,10,12,meta_bot
EXP3,162656609,100132,meta_bot,4,4,imitation_dr,8,13,imitation_dr
EXP3,162656609,100133,meta_bot,30,31,imitation_rl,2,2,meta_bot
EXP3,162656609,100134,working_title,8,15,imitation_tb,3,3,working_title
EXP3,162656609,100135,working_title,19,20,imitation_dr,14,14,working_title
EXP3,162656609,100136,working_title,34,51,imitation_rl,0,0,working_title
EXP3,162656609,100137,imitation_tb,39,40,imitation_dr,10,10,imitation_tb
EXP3,162656609,100138,imitation_tb,88,88,imitation_rl,7,7,imitation_tb
EXP3,162656609,100139,imitation_dr,45,46,imitation_rl,0,0,imitation_dr
EXP3,46941977,100140,meta_bot,17,17,working_title,3,14,meta_bot
EXP3,46941977,100141,meta_bot,11,11,imitation_tb,36,36,imitation_tb
EXP3,46941977,100142,meta_bot,2,2,imitation_dr,41,41,imitation_dr
EXP3,46941977,100143,meta_bot,15,15,imitation_rl,9,12,meta_bot
EXP3,46941977,100144,working_title,3,4,imitation_tb,31,38,imitation_tb
EXP3,46941977,100145,working_title,2,2,imitation_dr,16,16,imitation_dr
EXP3,46941977,100146,working_title,14,8,imitation_rl,25,25,imitation_rl
EXP3,46941977,100147,imitation_tb,55,55,imitation_dr,11,13,imitation_tb
EXP3,46941977,100148,imitation_tb,8,15,imitation_rl,1,6,imitation_tb
EXP3,46941977,100149,imitation_dr,16,24,imitation_rl,12,16,imitation_dr
EXP3,738706916,100150,meta_bot,38,38,working_title,0,0,meta_bot
EXP3,738706916,100151,meta_bot,38,39,imitation_tb,2,2,meta_bot
EXP3,738706916,100152,meta_bot,3,3,imitation_dr,8,9,imitation_dr
EXP3,738706916,100153,meta_bot,18,19,imitation_rl,0,0,meta_bot
EXP3,738706916,100154,working_title,2,2,imitation_tb,26,28,imitation_tb
EXP3,738706916,100155,working_title,2,1,imitation_dr,16,21,imitation_dr
EXP3,738706916,100156,working_title,27,27,imitation_rl,0,0,working_title
EXP3,738706916,100157,imitation_tb,36,36,imitation_dr,0,0,imitation_tb
EXP3,738706916,100158,imitation_tb,30,32,imitation_rl,1,2,imitation_tb
EXP3,738706916,100159,imitation_dr,14,12,imitation_rl,0,0,imitation_dr
EXP3,79192053,100160,meta_bot,22,22,working_title,12,15,meta_bot
EXP3,79192053,100161,meta_bot,7,9,imitation_tb,65,81,imitation_tb
EXP3,79192053,100162,meta_bot,14,15,imitation_dr,29,29,imitation_dr
EXP3,79192053,100163,meta_bot,41,44,imitation_rl,15,19,meta_bot
EXP3,79192053,100164,working_title,2,7,imitation_tb,53,55,imitation_tb
EXP3,79192053,100165,working_title,4,12,imitation_dr,22,25,imitation_dr
EXP3,79192053,100166,working_title,15,21,imitation_rl,10,12,working_title
EXP3,79192053,100167,imitation_tb,49,52,imitation_dr,37,38,imitation_tb
EXP3,79192053,100168,imitation_tb,74,74,imitation_rl,18,18,imitation_tb
EXP3,79192053,100169,imitation_dr,23,32,imitation_rl,7,14,imitation_dr
EXP3,149788560,100170,meta_bot,7,7,working_title,1,4,meta_bot
EXP3,149788560,100171,meta_bot,4,4,imitation_tb,8,8,imitation_tb
EXP3,149788560,100172,meta_bot,8,9,imitation_dr,0,2,meta_bot
